id;name;category;brand;saleFormat;installmentsNoInterest;flashOffer;price;oldPrice;offPct;freeShip;image;featured;description;stock;location;barcode;unit;cdsetor;cdsetdep
803740;"PENDENTE PEQUIM ALUM 1LP PD 272  COBRE";"LUMINARIAS";"";"Unidade";false;false;69.43;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"";"";;
803742;"PENDENTE PEQUIM ALUM 2LP PD 272  PT";"LUMINARIAS";"";"Unidade";false;false;95.06;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"";"";;
803743;"MASSA DRYWALL 28 KG";"DRYWAL/GESSO";"";"Unidade";false;false;69.90;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";36;"";"";"";;
803744;"PENDENTE VIDRO LUA 360MM PD 281 AMARELO";"LUMINARIAS";"";"Unidade";false;false;68.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"";"";;
803745;"PENDENTE VIDRO LUA 360MM PD 281 BRANCO";"LUMINARIAS";"";"Unidade";false;false;84.63;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"";"";;
803746;"PENDENTE VIDRO LUA 360MM PD 281 COBRE";"LUMINARIAS";"";"Unidade";false;false;84.63;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"";"";;
803747;"PENDENTE VIDRO PORTO PD 301 E27";"LUMINARIAS";"";"Unidade";false;false;81.26;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"";"";;
803662;"ESM CINZA MEDIO GALAO 3,6 LTS";"MATERIAIS DE PINTURA";"";"Unidade";false;true;129.00;132.99;3;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"";"";;
803663;"PARABOLT PBA 3/8 X 3-3/4";"PARAF/PORCA/ARRUELAS/BUCHAS";"";"Unidade";false;false;3.86;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";-6;"";"";"";;
803776;"TOMADA EM BARRA CERGE 4 ENT 10A";"MATERIAL ELETRICO 1";"";"Unidade";false;false;19.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";29;"";"";"";;
803665;"REJUNTE PORTOKOL ACRILICO AREIA KG";"CIMENTO E AGREGADOS";"";"Unidade";false;false;29.50;;;false;"/assets/produtos/803665.png";false;"Produto sem descrição.";13;"";"";"";;
803676;"CANTONEIRA FERRO 2 X 1/4 C/ 6M";"FERRO E A�O";"";"Unidade";false;false;353.20;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"";"";;
803811;"DISCO MAKITA SEG TURBO - 42581";"FERRAMENTAS";"";"Unidade";false;false;48.82;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";-1;"";"";"";;
803913;"BEBEDOURO PELOS LONGOS AZ 1000ml";"PET SHOP";"";"Unidade";false;false;18.90;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"";"";;
803914;"BEBEDOURO PELOS LONGOS RS 1000ml";"PET SHOP";"";"Unidade";false;false;18.90;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"";"";;
